,ds,USDEUR,USDJPY,USDGBP,USDAUD
199,2019-05-09,0.9045187245500057,111.29757321734168,0.7780450337362615,1.4330879885836056
200,2019-05-12,0.9087726698559434,111.26868202779434,0.7817699608850164,1.431792177279086
201,2019-05-15,0.9113903971038849,111.03876730862382,0.7836368693885799,1.4283635715007958
202,2019-05-18,0.9157177421759499,110.73160464261848,0.7873269104142483,1.4256658821072137
203,2019-05-21,0.9166477439250142,110.43066968433845,0.786953236317483,1.4191435586779126
204,2019-05-24,0.9175492544611998,110.31727393707892,0.789106695044339,1.4115101581071958
205,2019-05-27,0.9190030826010486,110.12558729931125,0.7905865539087845,1.4067816860800053
206,2019-05-30,0.9204164470754659,110.02655008856931,0.7912298639493336,1.4040902706948266
207,2019-06-02,0.9210155011972694,109.92593026859441,0.7924647694325049,1.400898421398694
208,2019-06-05,0.9200327330113721,109.63482091900222,0.791840636766304,1.3999440713887528
209,2019-06-08,0.9211817922868347,109.27640093391095,0.7932873339105435,1.4037267999431324
210,2019-06-11,0.9196278845100034,108.93550533135678,0.7911299503745443,1.406697614623325
211,2019-06-14,0.9188782522915414,108.79806002945908,0.7920986330508677,1.410107829349096
212,2019-06-17,0.9195024438891312,108.60661256246648,0.7930325049172431,1.41628599515784
213,2019-06-20,0.9207560453500244,108.54336017962125,0.7936983145366753,1.4227347194182565
214,2019-06-23,0.92160668960489,108.5257150179166,0.7953537338912297,1.4256159279473648
215,2019-06-26,0.9209742605224494,108.37302569441616,0.7953087943009352,1.4269049591141287
216,2019-06-29,0.9222694807577373,108.20913392916295,0.7972336226929275,1.4289858771108646
217,2019-07-02,0.9204282265598827,108.10851338824851,0.7952301307359756,1.426831836334051
218,2019-07-05,0.9188544294596723,108.23426971313891,0.7958956981528167,1.4227306895657275
219,2019-07-08,0.9181706777610207,108.29510919843783,0.79606557159636,1.4203516230779125
220,2019-07-11,0.9178427053905555,108.43289230676965,0.7956445624953419,1.418587999422647
221,2019-07-14,0.9171739327060472,108.5252092419949,0.7961526263759054,1.4147957328974436
222,2019-07-17,0.9154852343093138,108.3602387650213,0.7952388675085302,1.4117551900922853
223,2019-07-20,0.9165733413047318,108.0467360106497,0.796919873564609,1.4121636353403997
224,2019-07-23,0.9156592715062608,107.66502888831,0.7955732324858122,1.410816826711406
225,2019-07-26,0.916256270157928,107.4058888838199,0.79793036013923,1.4094323797845045
226,2019-07-29,0.9188724983791623,107.023832661175,0.800770951243234,1.410883166637178
227,2019-08-01,0.9226269505946968,106.71699092266884,0.803741279121102,1.4132351854403937
228,2019-08-04,0.9262803217571021,106.41951457065088,0.8079258920127025,1.4131647017603792
229,2019-08-07,0.9284930179761264,105.96599709266845,0.8104241881727678,1.4130443765847065
230,2019-08-10,0.9323920205127855,105.49313686683969,0.814677065944293,1.415481694943491
231,2019-08-13,0.9326392337459711,105.08646383756304,0.8145582141463229,1.415463933534243
232,2019-08-16,0.9324082675811737,104.91999960047993,0.8164556300774349,1.4150774504143764
233,2019-08-19,0.9321629596282333,104.715182890021,0.8170287324266287,1.4175999395616625
234,2019-08-22,0.9312993634343549,104.62976638424466,0.8160514660259539,1.421397931491377
235,2019-08-25,0.9291451443675216,104.56035405472122,0.8149666408177398,1.423240383345429
236,2019-08-28,0.9251319077206253,104.31546099847421,0.8114069708362214,1.425343713045855
237,2019-08-31,0.9232365040332723,104.02209637601045,0.8094392584952952,1.429940918142838
238,2019-09-03,0.9189068238016219,103.77243763093074,0.8035622544981232,1.4315201575516687
239,2019-09-06,0.9159060610410088,103.75853191513634,0.8007009924742186,1.4316760628268768
240,2019-09-09,0.9149944548929714,103.72276385149338,0.7978978384919645,1.4333385016907463
241,2019-09-12,0.9155292207291865,103.83720392277462,0.7951202892736742,1.434776167022718
242,2019-09-15,0.9164847515205726,103.99829789656175,0.7938135724192201,1.4329584674716687
243,2019-09-18,0.9167039981300733,103.9962088372389,0.7914495066699484,1.4305778433794192
244,2019-09-21,0.9194605005157293,103.92320264781306,0.791818749789131,1.4305291643196485
245,2019-09-24,0.9195214533443581,103.82756772623152,0.7890849026278259,1.4280117789580935
246,2019-09-27,0.9201174133289188,103.85940364112817,0.7898314142294387,1.425228920319786
247,2019-09-30,0.9217121234757795,103.73324185601703,0.7907924929045341,1.425484310193219
248,2019-10-03,0.923635980237137,103.61733979315252,0.7916835132831129,1.427103801172282
249,2019-10-06,0.9250800891313664,103.4331833574772,0.7937593229464284,1.4267842222989269
